name,address,lat,lng,rating,user_ratings,business_status,primary_type,website,phone,google_maps_uri,place_id,found_via
"Vikings Luxury Buffet - SM City Iloilo Southpoint","Level 2, SM City Iloilo Southpoint, Senator Benigno S. Aquino Jr. Ave, Mandurriao, Iloilo City, Iloilo, Philippines","10.7126638","122.5500419","4.9","19217","OPERATIONAL","buffet_restaurant","http://www.vikings.ph/","0917 313 7888","https://maps.google.com/?cid=5858030662361490983&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ3Vtr9EDlrjMRJyZnqdnnS1E","wedding venue @ Iloilo City, Iloilo"
"Vikings Luxury Buffet, SM City Bacolod","Ground Floor, SM City, Rizal St, Bacolod, 6100 Negros Occidental, Philippines","10.673001600000001","122.94427669999999","4.9","16004","OPERATIONAL","buffet_restaurant","http://vikings.ph/","(034) 431 0888","https://maps.google.com/?cid=13041113331431684555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ9QLYQE3QrjMRy7mY63pX-7Q","events place @ Bacolod City, Negros Occidental"
"Vikings Luxury Buffet, SM Mall of Asia","Building B, SM by the BAY, MOA Complex, Seaside Blvd, Pasay City, 1300 Metro Manila, Philippines","14.5405603","120.9791431","4.7","15728","OPERATIONAL","restaurant","https://www.vikings.ph/vikingsph","0917 565 3888","https://maps.google.com/?cid=830077935065918991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJObc__eTLlzMRD25-53sHhQs","events place @ Pasay, Metro Manila | wedding reception venue @ Pasay, Metro Manila"
"Shangri-La Mactan, Cebu","Punta Engaño Rd, Lapu-Lapu City, Cebu, 6015 Cebu, Philippines","10.3081301","124.02003010000001","4.6","11991","OPERATIONAL","resort_hotel","http://www.shangri-la.com/cebu/mactanresort/","(032) 231 0288","https://maps.google.com/?cid=7721624623605514041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJK3Gx-OGWqTMROX_qKq-4KGs","wedding venue @ Cebu City, Cebu | wedding reception venue @ Cebu City, Cebu | wedding venue @ Lapu-Lapu City, Cebu | wedding reception venue @ Lapu-Lapu City, Cebu"
"Ayala Triangle Gardens","Paseo De Roxas St Cor Makati Ave, Cor Ayala Ave, Makati City, 1209 Metro Manila, Philippines","14.5570493","121.0244961","4.6","11873","OPERATIONAL","park","http://www.ayalatriangle.com/","(02) 7908 3000","https://maps.google.com/?cid=15262763863623540139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ3-hTyQXJlzMRqx3zTd460NM","events place @ Makati, Metro Manila | garden events venue @ Makati, Metro Manila"
"SM Arena Mall of Asia","Mall of Asia Complex, J.W. Diokno Boulevard, cor Coral Way, Pasay City, 1300 Metro Manila, Philippines","14.5316969","120.98402899999998","4.5","11431","OPERATIONAL","arena","https://mallofasia-arena.com/","(02) 8470 2222","https://maps.google.com/?cid=3090624043362676634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJxzMKm_7LlzMRmu_pTjEa5Co","events place @ Pasay, Metro Manila"
"OM Boracay","Philippines, Aklan, Malay, Station 2, Balabag, Boracay Island","11.958857199999999","121.92623069999999","4.8","11385","OPERATIONAL","bar",,"0917 651 8222","https://maps.google.com/?cid=4221251108006493103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJLRiNkyE8pTMRr3tzgITllDo","wedding venue @ Boracay, Malay, Aklan | garden events venue @ Boracay, Malay, Aklan"
"Newport World Resorts","G299+GW5, Newport Blvd, Pasay City, 1309 Metro Manila, Philippines","14.519074799999999","121.01935800000001","4.4","11186","OPERATIONAL","hotel","https://www.newportworldresorts.com/","(02) 7908 8888","https://maps.google.com/?cid=11443524340133028037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJVxSJ6MzOlzMRxWAqyMGQz54","events place @ Pasay, Metro Manila"
"Conrad Manila","Seaside Boulevard, Coral Way, Pasay City, 1300 Metro Manila, Philippines","14.5315812","120.98004379999998","4.6","9759","OPERATIONAL","hotel","https://www.hilton.com/en/hotels/mnlmbci-conrad-manila/?SEO_id=GMB-APAC-CI-MNLMBCI","(02) 8833 9999","https://maps.google.com/?cid=17431805013382812113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJiWFdavnLlzMR0VGOUE026vE","events place @ Pasay, Metro Manila | wedding reception venue @ Pasay, Metro Manila"
"SMX Convention Center Manila","Mall of Asia Complex, Seashell Ln, Pasay City, 1300 Metro Manila, Philippines","14.5320276","120.98173059999999","4.5","9640","OPERATIONAL","convention_center","https://www.smxconventioncenter.com/",,"https://maps.google.com/?cid=14939279181537303148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJcQq4umfJlzMRbFrrj0P7Us8","events place @ Pasay, Metro Manila | wedding reception venue @ Pasay, Metro Manila"
"I'M Hotel Makati","7862 Makati Ave, Makati City, 1210 Metro Manila, Philippines","14.5646725","121.0295904","4.6","9277","OPERATIONAL","hotel","http://www.imhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","(02) 7755 7888","https://maps.google.com/?cid=4109783791234000673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJhdKYS6rJlzMRIScpZJXiCDk","wedding venue @ Makati, Metro Manila"
