tier,score,name,address,rating,user_ratings,primary_type,website,phone,lat,lng,place_id,reasons
"A","80","Shangri-La Mactan, Cebu","Punta Engaño Rd, Lapu-Lapu City, Cebu, 6015 Cebu, Philippines","4.6","11991","resort_hotel","http://www.shangri-la.com/cebu/mactanresort/","(032) 231 0288","10.3081301","124.02003010000001","ChIJK3Gx-OGWqTMROX_qKq-4KGs","core-type|hospitality-type|food-type|noise-type"
"A","95","Conrad Manila","Seaside Boulevard, Coral Way, Pasay City, 1300 Metro Manila, Philippines","4.6","9759","hotel","https://www.hilton.com/en/hotels/mnlmbci-conrad-manila/?SEO_id=GMB-APAC-CI-MNLMBCI","(02) 8833 9999","14.5315812","120.98004379999998","ChIJiWFdavnLlzMR0VGOUE026vE","core-type|hospitality-type"
"A","105","I'M Hotel Makati","7862 Makati Ave, Makati City, 1210 Metro Manila, Philippines","4.6","9277","hotel","http://www.imhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","(02) 7755 7888","14.5646725","121.0295904","ChIJhdKYS6rJlzMRIScpZJXiCDk","core-type|hospitality-type|food-type"
"A","105","Quest Hotel and Conference Center - Cebu","Archbishop Reyes Ave, Cebu City, 6000 Cebu, Philippines","4.5","6954","hotel","https://www.questhotelsandresorts.com/cebu/","(032) 230 5888","10.3193763","123.90305300000001","ChIJm4OrCxSfqTMRLfBAb696MG8","core-type|hospitality-type|food-type"
"A","70","Bohol Bee Farm","Dao, Dauis, Bohol, Philippines","4.4","4339","restaurant","http://boholbeefarm.com/","0917 304 1491","9.575738","123.8271114","ChIJ_____9xSqjMRIDZu57H5Pj8","hospitality-type|food-type|core-name"
"A","60","John Hay Hotels Garden Wing (formerly The Manor at Camp John Hay)","Ordonio Dr, Camp John Hay, Baguio, 2600 Benguet, Philippines","4.6","4207","resort_hotel","https://www.campjohnhayhotels.com/","0939 986 4120","16.4006765","120.6176382","ChIJndobjtWmkTMRP1mljW5L50M","hospitality-type|core-name"
"A","85","Catering Trio: Events Venue, Catering & Food Trays","Roof Deck, Prestige Tower F. Ortigas Jr. (Entrance, Parking, Garnet Rd, Ortigas Center, Pasig, 1605 Metro Manila, Philippines","4.9","2944","event_venue","https://www.cateringtrio.com/","0956 648 1152","14.5858042","121.06208840000001","ChIJW7-H_xnIlzMR2o3YLGr_a74","core-type|core-name"
"A","60","PICC Plenary Hall","HX4M+587, Pasay City, 1300 Metro Manila, Philippines","4.7","2736","event_venue","https://picc.gov.ph/experience-picc/plenary-hall/",,"14.555406399999997","120.98329620000001","ChIJaVWwctnLlzMRcjSCv-quWaA","core-type"
"A","105","Widus Hotel Clark","Hann Resorts, 5399 Manuel A. Roxas Hwy, Clark Freeport, Zone, 2023 Pampanga, Philippines","4.1","2454","hotel","https://widus.com/","(045) 499 1000","15.189465199999999","120.5250336","ChIJTXLXa2LtljMRDOCaFkCgSdw","core-type|hospitality-type|food-type"
"A","130","Sonya's Garden","Buck Estate Road, Alfonso, Cavite, Philippines","4.4","2169","bed_and_breakfast","https://sonyasgarden.com/","0917 703 3442","14.0870269","120.84981989999999","ChIJq-fJ4v-cvTMRi9ZtafiMVao","core-type|hospitality-type|food-type|core-name"
